File;Begin Time - hh:mm:ss.ms;Trial;Part;Subject;Scope;Words;Gesture;Dimension;Handshape;N Hands;Comment;Speech;Translation;comment;Grammar;General comments;
swe1;00:00:26.236;1;;;;;;;;;;;;;;;
swe1;00:00:54.350;2;;;;;;;;;;;;;;;
swe1;00:01:30.103;3;;;;;;;;;;;;;;;
swe1;00:01:54.940;4;;;;;;;;;;;;;;;
swe1;00:03:48.640;5;;;;;;;;;;;;;;;
swe1;00:04:41.286;6;;;;;;;;;;;;;;;
swe1;00:04:42.540;6;1;tone;Brightness;;;;;;;ja och nu var det en ljusare ton, den fÌ¦regÌ´ende;;;;;
swe1;00:04:43.479;6;1;tone;Brightness;ljusare;0;;;;;ja och nu var det en ljusare ton, den fÌ¦regÌ´ende;;;;;
swe1;00:04:57.837;6;;;;ljusare;0;;;;;;;;;;
swe1;00:05:24.683;7;;;;;;;;;;;;;;;
swe1;00:05:34.002;7;1;instrument;Brightness;mÌ¦rkare;0;;;;;lite mÌ¦rkare;;;;;
swe1;00:05:35.038;7;;;;low;;;;;;;;;;;
swe1;00:05:35.048;7;;;;low;0;;;;;;;;;;
swe1;00:06:06.046;8;;;;;;;;;;;;;;;
swe1;00:06:18.850;8;1;sound;Height;;;;;;;altsÌ´ djup, hÌ¦jd;;;;;
swe1;00:06:19.487;8;1;sound;Height;djup;1;vert;flat H;2;;altsÌ´ djup, hÌ¦jd;;;;;
swe1;00:06:20.000;8;1;sound;Height;hÌ¦jd;1;vert;flat H;2;;altsÌ´ djup, hÌ¦jd;;;;;
swe1;00:06:43.651;9;;;;;;;;;;;;;;;
swe1;00:06:46.333;9;1;none;Brightness;;;;;;;nu bÌ¦rjar man med den ljusa (bing) och gÌ´r till den mÌ¦rka (buum);;;;;
swe1;00:06:48.330;9;1;none;Brightness;ljusa;0;;;;;nu bÌ¦rjar man med den ljusa (bing) och gÌ´r till den mÌ¦rka (buum);;;;;
swe1;00:06:51.303;9;1;none;Brightness;mÌ¦rka;0;;;;;nu bÌ¦rjar man med den ljusa (bing) och gÌ´r till den mÌ¦rka (buum);;;;;
swe1;00:07:21.360;10;;;;;;;;;;;;;;;
swe1;00:07:26.252;10;1;none;Brightness;;;;;;;den bÌ¦rjar med ljust, avslutar med mÌ¦rk;;;;;
swe1;00:07:26.754;10;1;none;Brightness;ljust;1;none;open;1;;den bÌ¦rjar med ljust, avslutar med mÌ¦rk;;;;;
swe1;00:07:29.234;10;1;none;Brightness;mÌ¦rkt;1;none;none;1;;den bÌ¦rjar med ljust, avslutar med mÌ¦rk;;;;;
swe1;00:08:01.266;11;;;;;;;;;;;;;;;
swe1;00:08:07.985;11;1;tone;Height;;;;;;;det stÌ¦rre skilnad nu..senaste..mellan hÌ¦g och lÌ´g ton;;;;;
swe1;00:08:11.222;11;1;tone;Height;hÌ¦g;0;;;;;det stÌ¦rre skilnad nu..senaste..mellan hÌ¦g och lÌ´g ton;;;;;
swe1;00:08:11.689;11;1;tone;Height;lÌ´g;0;;;;;det stÌ¦rre skilnad nu..senaste..mellan hÌ¦g och lÌ´g ton;;;;;
swe1;00:08:40.416;12;;;;;;;;;;;;;;;
swe1;00:08:42.442;12;1;tone;Brightness;;;;;;;sÌ´ nu kommer det ljusa...tonen sist och den mÌ¦rka fÌ¦rst;;;;;
swe1;00:08:43.254;12;1;tone;Brightness;ljusa;0;;;;;sÌ´ nu kommer det ljusa...tonen sist och den mÌ¦rka fÌ¦rst;;;;;
swe1;00:08:46.392;12;1;tone;Brightness;mÌ¦rka;0;;;;;sÌ´ nu kommer det ljusa...tonen sist och den mÌ¦rka fÌ¦rst;;;;;
swe1;00:09:26.120;13;;;;;;;;;;;;;;;
swe1;00:09:28.906;13;1;tone;Brightness;;;;;;;nu hÌ¦r jag en ljusare ton fÌ¦rst och en mÌ¦rkare sen;;;;;
swe1;00:09:30.567;13;1;tone;Brightness;ljusare;0;;;;;nu hÌ¦r jag en ljusare ton fÌ¦rst och en mÌ¦rkare sen;;;;;
swe1;00:09:32.859;13;1;tone;Brightness;mÌ¦rkare;0;;;;;nu hÌ¦r jag en ljusare ton fÌ¦rst och en mÌ¦rkare sen;;;;;
swe1;00:10:14.043;14;;;;;;;;;;;;;;;
swe1;00:10:14.067;14;1;tone;Brightness;;;;;;;ljusa tonen fÌ¦rst, mÌ¦rka sen;;;;;
swe1;00:10:14.092;14;1;tone;Brightness;ljusa;0;;;;;ljusa tonen fÌ¦rst, mÌ¦rka sen;;;;;
swe1;00:10:15.480;14;1;tone;Brightness;mÌ¦rka;0;;;;;ljusa tonen fÌ¦rst, mÌ¦rka sen;;;;;
swe1;00:10:25.641;14;;;;high;1;;;;;;;;;;
swe1;00:10:26.465;14;;;;low;1;;;;;;;;;;
swe1;00:10:50.433;15;;;;;;;;;;;;;;;
swe1;00:10:50.467;15;1;sound;Brightness;;;;;;;nu hÌ¦r jag ett ljust ljud fÌ¦rst och ett mycket dovt sen;;;;;
swe1;00:10:51.539;15;1;sound;Brightness;ljust;0;;;;;nu hÌ¦r jag ett ljust ljud fÌ¦rst och ett mycket dovt sen;;;;;
swe1;00:11:05.445;15;;;;bright;0;;;;;;;;;;
swe1;00:11:06.253;15;;;;dark;0;;;;;;;;;;
swe1;00:11:10.748;15;;;;dark;0;;;;;;;;;;
swe1;00:11:11.784;15;;;;dark;0;;;;;;;;;;
swe1;00:11:35.593;16;;;;;;;;;;;;;;;
swe1;00:11:48.500;16;1;tone;Height;;;;;;;det den andra tonen Ì_r vÌÇl lite hÌ¦gre;;;;;
swe1;00:11:50.039;16;1;tone;Height;hÌ¦gre;0;;;;;det den andra tonen Ì_r vÌÇl lite hÌ¦gre;;;;;
swe1;00:12:23.555;17;;;;;;;;;;;;;;;
swe1;00:12:28.130;17;1;tone;Height;;;;;;;den andra av tonerna Ì_r hÌ¦gre;;;;;
swe1;00:12:30.538;17;1;tone;Height;hÌ¦gre;0;;;;;den andra av tonerna Ì_r hÌ¦gre;;;;;
swe1;00:12:31.658;17;;;;ljusare;0;;;;;;;;;;
swe1;00:12:56.491;18;;;;;;;;;;;;;;;
swe1;00:12:57.299;18;1;tone;Brightness;;;;;;;den andra tonen Ì_r ljusare och skilnaden mellan de tvÌ´ tonerna i detta klippet Ì_r lite stÌ¦rre Ì_n fÌ¦regÌ´ende klipp;;;;;
swe1;00:12:58.586;18;1;tone;Brightness;ljusare;0;;;;;den andra tonen Ì_r ljusare och skilnaden mellan de tvÌ´ tonerna i detta klippet Ì_r lite stÌ¦rre Ì_n fÌ¦regÌ´ende klipp;;;;;
swe1;00:13:26.814;;;;;;;;;;incongruent speech gesture metaphors;;;;;;
swe1;00:13:46.283;19;;;;;;;;;;;;;;;
swe1;00:14:22.131;20;;;;;;;;;;;;;;;
swe1;00:14:54.808;21;;;;;;;;;;;;;;;
swe1;00:14:57.666;21;1;tone;Height;;;;;;;varav den andra tonen Ì_r lite lÌ_gre Ì_n den fÌ¦rsta;;;;;
swe1;00:14:59.755;21;1;tone;Height;lÌ_gre;0;;;;;varav den andra tonen Ì_r lite lÌ_gre Ì_n den fÌ¦rsta;;;;;
swe1;00:15:22.681;22;;;;;;;;;;;;;;;
swe1;00:15:26.730;22;1;tone;Height;;;;;;;ton nummer tvÌ´ Ì_r lite dovare lite lÌ_gre Ì_n den fÌ¦rsta;;;;;
swe1;00:15:30.224;22;1;tone;Height;lÌ_gre;0;;;;;ton nummer tvÌ´ Ì_r lite dovare lite lÌ_gre Ì_n den fÌ¦rsta;;;;;
swe10;00:00:17.200;1;;;;;;;;;;;;;;;
swe10;00:01:42.635;2;;;;;;;;;;;;;;;
swe10;00:03:00.140;3;;;;;;;;;;;;;;;
swe10;00:03:12.417;3;1;tone;Height;;;;;;;det Ì_r fortfarande mansrÌ¦ster i begge tvÌ´, dom ligger .. vÌ_ldigt vÌ_ldigt nÌ_ra varandra i tonhÌ¦jd;;;;;
swe10;00:03:15.736;3;1;tone;Height;nÌ_ra;1;vert;flat H;2;;det Ì_r fortfarande mansrÌ¦ster i begge tvÌ´, dom ligger .. vÌ_ldigt vÌ_ldigt nÌ_ra varandra i tonhÌ¦jd;;;;;
swe10;00:03:19.080;3;1;tone;Height;hÌ¦jd;1;vert;flat H;1;;det Ì_r fortfarande mansrÌ¦ster i begge tvÌ´, dom ligger .. vÌ_ldigt vÌ_ldigt nÌ_ra varandra i tonhÌ¦jd;;;;;
swe10;00:04:24.715;4;;;;;;;;;;;;;;;
swe10;00:04:24.872;4;1;none;Height;;;;;;;den fÌ¦rsta dÌ_r Ì_r det ju vÌ_ldigt vÌ_ldigt vÌ_ldigt hÌ¦gt;;;;;
swe10;00:04:26.145;4;1;none;Height;hÌ¦gt;1;vert;narow grip;1;;den fÌ¦rsta dÌ_r Ì_r det ju vÌ_ldigt vÌ_ldigt vÌ_ldigt hÌ¦gt;;;;;
swe10;00:04:37.560;4;;;;high;0;;;;;;;;;;
swe10;00:04:45.070;4;;;;bright;0;;;;;;;;;;
swe10;00:04:48.354;4;2;none;Height;;;;;;;och det.. det andra avsnittet Ì_r det (rrr) .. det ju vÌ_ldigt lÌ´ngt ner;;;;;
swe10;00:04:50.627;4;2;none;Height;(rrr);1;vert;flat H;1;;och det.. det andra avsnittet Ì_r det (rrr) .. det ju vÌ_ldigt lÌ´ngt ner;;;;;
swe10;00:05:07.726;5;;;;;;;;;;;;;;;
swe10;00:05:19.509;5;1;none;Height;;;;;;;det Ì_r ganska hÌ¦gt .. och sen Ì_r det .. ganska lÌ´ngt ner;;;;;
swe10;00:05:19.965;5;1;none;Height;hÌ¦gt;1;vert;flat H;1;;det Ì_r ganska hÌ¦gt .. och sen Ì_r det .. ganska lÌ´ngt ner;;;;;
swe10;00:05:22.655;5;1;none;Height;lÌ´ngt ner;1;vert;flat H;1;;det Ì_r ganska hÌ¦gt .. och sen Ì_r det .. ganska lÌ´ngt ner;;;;;
swe10;00:05:50.045;5;;;;high;1;;;;;;;;;;
swe10;00:06:03.420;6;;;;;;;;;;;;;;;
swe10;00:06:05.281;6;1;voice;Height;;;;;;;hÌ_r Ì_r det lite lÌ_gre mansrÌ¦ster;;;;;
swe10;00:06:06.350;6;1;voice;Height;lÌ_gre;1;none;open;2;;hÌ_r Ì_r det lite lÌ_gre mansrÌ¦ster;;;;;
swe10;00:06:10.190;6;2;none;Height;;;;;;;och lite lite hÌ¦gre;;;;;
swe10;00:06:10.490;6;2;none;Height;hÌ¦gre;1;vert;flat H;2;;och lite lite hÌ¦gre;;;;;
swe10;00:06:37.360;7;;;;;;;;;;;;;;;
swe10;00:06:37.618;7;1;voice;Brightness;;;;;;;i det fÌ¦rsta avsnittet sÌ´ Ì_r det dog lju-lju-ljusa mansrÌ¦ster;;;;;
swe10;00:06:39.630;7;1;voice;Brightness;ljusa;1;none;open;1;;i det fÌ¦rsta avsnittet sÌ´ Ì_r det dog lju-lju-ljusa mansrÌ¦ster;;;;;
swe10;00:06:43.481;7;2;none;Height;;;;;;;och sen Ì_r det dÌ´ eh.. kvinnorÌ¦ster i det andra.. avsnittet som ligger hÌ¦gre;;;;;
swe10;00:06:43.490;7;2;none;Height;och sen Ì_r det;1;vert;flat H;1;;och sen Ì_r det dÌ´ eh.. kvinnorÌ¦ster i det andra.. avsnittet som ligger hÌ¦gre;;;;;
swe10;00:06:46.163;7;2;none;Height;kvinnorÌ¦ster;1;vert;other;1;;och sen Ì_r det dÌ´ eh.. kvinnorÌ¦ster i det andra.. avsnittet som ligger hÌ¦gre;;;;;
swe10;00:06:49.115;7;2;none;Height;hÌ¦gre;1;vert;other;1;;och sen Ì_r det dÌ´ eh.. kvinnorÌ¦ster i det andra.. avsnittet som ligger hÌ¦gre;;;;;
swe10;00:07:22.940;8;;;;;;;;;;;;;;;
swe10;00:07:23.135;8;1;none;Brightness;;;;;;;det hÌ_r Ì_r ju ocksÌ´ eh. fÌ¦rsta avsnittet Ì_r det dÌ´. vÌ_ldigt vÌ_ldigt ljusa;;;;;
swe10;00:07:24.063;8;1;none;Brightness;fÌ¦rsta;1;vert;narow grip;1;;det hÌ_r Ì_r ju ocksÌ´ eh. fÌ¦rsta avsnittet Ì_r det dÌ´. vÌ_ldigt vÌ_ldigt ljusa;;;;;
swe10;00:07:26.020;8;1;none;Brightness;ljusa;0;;;;;det hÌ_r Ì_r ju ocksÌ´ eh. fÌ¦rsta avsnittet Ì_r det dÌ´. vÌ_ldigt vÌ_ldigt ljusa;;;;;
swe10;00:07:32.381;8;2;voice;Brightness;;;;;;;i andra avsnittet sÌ´ Ì_r det dÌ´ eh.. ljusa mansrÌ¦ster;;;;;
swe10;00:07:32.599;8;2;voice;Brightness;andra;1;none;point;1;;i andra avsnittet sÌ´ Ì_r det dÌ´ eh.. ljusa mansrÌ¦ster;;;;;
swe10;00:07:33.736;8;2;voice;Brightness;dÌ´;1;vert;flat H;1;;i andra avsnittet sÌ´ Ì_r det dÌ´ eh.. ljusa mansrÌ¦ster;;;;;
swe10;00:07:35.117;8;2;voice;Brightness;ljusa;1;vert;flat H;1;;i andra avsnittet sÌ´ Ì_r det dÌ´ eh.. ljusa mansrÌ¦ster;;;;;
swe10;00:08:12.330;9;;;;;;;;;;;;;;;
swe10;00:08:13.336;9;1;none;none;;;;;;;() i det fÌ¦rsta avsnittet sÌ´ Ì_r det () .. () slags mellansnit ;;;;;
swe10;00:08:16.853;9;1;none;none;mellansnit;1;vert;flat H;2;;() i det fÌ¦rsta avsnittet sÌ´ Ì_r det () .. () slags mellansnit ;;;;;
swe10;00:09:24.786;10;;;;;;;;;;;;;;;
swe10;00:09:28.609;10;1;none;Height;;;;;;;barn, kvinnorÌ¦ster, vÌ_ldigt vÌ_ldigt hÌ¦gt i det;;;;;
swe10;00:09:30.045;10;1;none;Height;hÌ¦gt;1;vert;point;1;;barn, kvinnorÌ¦ster, vÌ_ldigt vÌ_ldigt hÌ¦gt i det;;;;;
swe10;00:09:32.808;10;2;none;Height;;;;;;;och i det andra sÌ´ Ì_r det, ocksÌ´, Ì_nnu hÌ¦gre;;;;;
swe10;00:09:35.525;10;2;none;Height;hÌ¦gre;1;vert;narow grip;1;;och i det andra sÌ´ Ì_r det, ocksÌ´, Ì_nnu hÌ¦gre;;;;;
swe10;00:09:45.605;10;;;;high;1;;;;;;;;;;
swe10;00:09:47.262;10;;;;other;1;;;;;;;;;;
swe10;00:10:03.604;10;;;;low;1;;;;;;;;;;
swe10;00:10:06.086;10;;;;high;1;;;;;;;;;;
swe10;00:10:23.091;11;;;;;;;;;;;;;;;
swe10;00:10:26.782;11;1;voice;Height;;;;;;;kan vara manliga ock kvinliga rÌ¦ster, lite lÌ_gre och i det andra fallet, sÌ´ Ì_r det, skulle kunne vara bÌ´da manliga och kvinliga rÌ¦ster, men dom blivit lite hÌ¦gre upp sÌ´;;;;;
swe10;00:10:29.015;11;1;voice;Height;lÌ_gre;1;none;none;2;;kan vara manliga ock kvinliga rÌ¦ster, lite lÌ_gre och i det andra fallet, sÌ´ Ì_r det, skulle kunne vara bÌ´da manliga och kvinliga rÌ¦ster, men dom blivit lite hÌ¦gre upp sÌ´;;;;;
swe10;00:10:29.849;11;1;voice;Height;andra;1;vert;none;1;;kan vara manliga ock kvinliga rÌ¦ster, lite lÌ_gre och i det andra fallet, sÌ´ Ì_r det, skulle kunne vara bÌ´da manliga och kvinliga rÌ¦ster, men dom blivit lite hÌ¦gre upp sÌ´;;;;;
swe10;00:10:36.285;11;1;voice;Height;hÌ¦gre upp;1;vert;flat H;1;;kan vara manliga ock kvinliga rÌ¦ster, lite lÌ_gre och i det andra fallet, sÌ´ Ì_r det, skulle kunne vara bÌ´da manliga och kvinliga rÌ¦ster, men dom blivit lite hÌ¦gre upp sÌ´;;;;;
swe10;00:11:19.655;12;;;;;;;;;;;;;;;
swe10;00:11:19.832;12;1;sound;Height;;;;;;;i det fÌ¦rsta, sÌ´ Ì_r det dÌ´ ett lÌ´gt lÌ´gt ljud;;;;;
swe10;00:11:21.990;12;1;sound;Height;lÌ´gt;1;none;open;2;;i det fÌ¦rsta, sÌ´ Ì_r det dÌ´ ett lÌ´gt lÌ´gt ljud;;;;;
swe10;00:11:30.520;12;;;;low;1;;;;;;;;;;
swe10;00:11:33.332;12;2;voice;Brightness;;;;;;;och det andra Ì_r dÌ´ en ljus kvinnorÌ¦st;;;;;
swe10;00:11:34.960;12;2;voice;Brightness;ljus;1;vert;flat H;;;och det andra Ì_r dÌ´ en ljus kvinnorÌ¦st;;;;;
swe10;00:12:09.110;13;;;;;;;;;;;;;;;
swe10;00:12:09.860;13;1;voice;Brightness;;;;;;;i fÌ¦rsta avsnittet sÌ´ Ì_r det dÌ´ eh. ljusa ljusa ljusa rÌ¦ster, och i det andra avsnittet sÌ´ Ì_r det .. sÌ´ Ì_r det.. Ì_nnu ljusare rÌ¦ster;;;;;
swe10;00:12:11.924;13;1;voice;Brightness;ljusa;1;none;other;2;;i fÌ¦rsta avsnittet sÌ´ Ì_r det dÌ´ eh. ljusa ljusa ljusa rÌ¦ster, och i det andra avsnittet sÌ´ Ì_r det .. sÌ´ Ì_r det.. Ì_nnu ljusare rÌ¦ster;;;;;
swe10;00:12:18.861;13;1;voice;Brightness;ljusare;1;vert;narow grip;1;;i fÌ¦rsta avsnittet sÌ´ Ì_r det dÌ´ eh. ljusa ljusa ljusa rÌ¦ster, och i det andra avsnittet sÌ´ Ì_r det .. sÌ´ Ì_r det.. Ì_nnu ljusare rÌ¦ster;;;;;
swe10;00:12:27.470;13;;;;high;1;;;;;;;;;;
swe10;00:12:34.991;13;;;;high;0;;;;;;;;;;
swe10;00:12:53.830;14;;;;;;;;;;;;;;;
swe10;00:12:59.430;14;1;tone;Height;;;;;;;dÌ_r det fÌ¦rsta Ì_r lite gran hÌ¦gre .. i tonlÌ_get Ì_n . det andra avsnittet;;;;;
swe10;00:13:00.431;14;1;tone;Height;hÌ¦gre;1;vert;other;2;;dÌ_r det fÌ¦rsta Ì_r lite gran hÌ¦gre .. i tonlÌ_get Ì_n . det andra avsnittet;;;;;
swe10;00:13:30.690;15;;;;;;;;;;;;;;;
swe10;00:13:47.823;15;;;;high;1;;;;;;;;;;
swe10;00:13:48.669;15;;;;low;1;;;;S low G high;;;;;;
swe10;00:14:31.276;16;;;;;;;;;;;;;;;
swe10;00:14:36.286;16;1;voice;Height;;;;;;;det Ì_r djupa djpua mansrÌ¦ster;;;;;
swe10;00:14:36.932;16;1;voice;Height;djupa;1;vert;none;2;;det Ì_r djupa djpua mansrÌ¦ster;;;;;
swe10;00:14:45.190;16;;;;high;0;;;;;;;;;;
swe10;00:14:49.274;16;;;;low;1;;;;;;;;;;
swe10;00:15:06.386;17;;;;;;;;;;;;;;;
swe10;00:15:06.471;17;1;none;Height;;;;;;;fÌ¦rst ( ) sÌ´ lÌ´ter det vÌ_ldigt vÌ_ldigt hÌ¦gt, och det andra sÌ´ sÌ´ eh.. lÌ´ter det lÌ_gre;;;;;
swe10;00:15:07.682;17;1;none;Height;hÌ¦gt;1;none;narow grip;2;;fÌ¦rst ( ) sÌ´ lÌ´ter det vÌ_ldigt vÌ_ldigt hÌ¦gt, och det andra sÌ´ sÌ´ eh.. lÌ´ter det lÌ_gre;;;;;
swe10;00:15:11.583;17;1;none;Height;lÌ_gre;1;vert;none;2;;fÌ¦rst ( ) sÌ´ lÌ´ter det vÌ_ldigt vÌ_ldigt hÌ¦gt, och det andra sÌ´ sÌ´ eh.. lÌ´ter det lÌ_gre;;;;;
swe10;00:15:14.738;17;;;;other;1;;;;full;;;;;;
swe10;00:15:15.481;17;;;;other;1;;;;full;;;;;;
swe10;00:15:19.817;17;;;;other;;;;;?;;;;;;
swe10;00:15:19.817;17;;;;other;1;;;;?;;;;;;
swe10;00:15:25.272;17;;;;other;1;;;;round;;;;;;
swe10;00:15:26.748;17;;;;other;1;;;;full;;;;;;
swe10;00:15:36.652;17;;;;other;1;;;;spikar;;;;;;
swe10;00:15:41.875;17;;;;high;;;;;;;;;;;
swe10;00:15:41.875;17;;;;high;1;;;;;;;;;;
swe10;00:16:17.966;18;;;;;;;;;;;;;;;
swe10;00:16:23.733;18;1;tone;Height;;;;;;;den fÌ¦rsta ligger lite hÌ¦gre .. i tonlÌ_get Ì_n den . den andra;;;;;
swe10;00:16:24.377;18;1;tone;Height;hÌ¦gre;1;vert;open;1;;den fÌ¦rsta ligger lite hÌ¦gre .. i tonlÌ_get Ì_n den . den andra;;;;;
swe10;00:16:27.262;18;1;tone;Height;andra;1;vert;flat H;1;;den fÌ¦rsta ligger lite hÌ¦gre .. i tonlÌ_get Ì_n den . den andra;;;;;
swe10;00:17:26.990;19;;;;;;;;;;;;;;;
swe10;00:17:29.340;19;1;none;Height;;;;;;;fÌ¦rsta Ì_r dÌ´ ( ) hÌ¦gt;;;;;
swe10;00:17:29.790;19;1;none;Height;hÌ¦gt;1;none;narow grip;1;;fÌ¦rsta Ì_r dÌ´ ( ) hÌ¦gt;;;;;
swe10;00:17:32.940;19;;;;high;1;;;;;;;;;;
swe10;00:17:37.158;19;2;none;Height;;;;;;;och den andra Ì_r ocksÌ´ hÌ¦g;;;;;
swe10;00:17:38.100;19;2;none;Height;hÌ¦g;1;vert;open;1;;och den andra Ì_r ocksÌ´ hÌ¦g;;;;;
swe10;00:17:48.930;19;;;;bright;1;;;;G height;;;;;;
swe10;00:18:12.881;20;;;;;;;;;;;;;;;
swe10;00:18:13.100;20;1;voice;Height;;;;;;;det fÌ¦rsta avsnittet Ì_r det mansrÌ¦ster och det andra ( ) sÌ´ Ì_r det kvinnorÌ¦ster som ligger () hÌ¦gre;;;;;
swe10;00:18:19.480;20;1;voice;Height;hÌ¦gre;1;vert;point;1;;det fÌ¦rsta avsnittet Ì_r det mansrÌ¦ster och det andra ( ) sÌ´ Ì_r det kvinnorÌ¦ster som ligger () hÌ¦gre;;;;;
swe10;00:19:05.325;21;;;;;;;;;;;;;;;
swe10;00:19:05.683;21;1;sound;Height;;;;;;;hÌ_r Ì_r det fortfarande . mansljud .. eh.. hÌ¦gt;;;;;
swe10;00:19:08.720;21;1;sound;Height;hÌ¦gt;1;none;open;1;;hÌ_r Ì_r det fortfarande . mansljud .. eh.. hÌ¦gt;;;;;
swe10;00:19:09.860;21;;;;high;1;;;;;;;;;;
swe10;00:19:16.883;21;2;voice;Brightness;;;;;;;men det Ì_r altsÌ´ ljusa ljusa barnrÌ¦ster;;;;;
swe10;00:19:17.950;21;2;voice;Brightness;ljusa;1;vert;open;1;;men det Ì_r altsÌ´ ljusa ljusa barnrÌ¦ster;;;;;
swe10;00:19:25.340;21;;;;high;0;;;;;;;;;;
swe10;00:19:41.995;22;;;;;;;;;;;;;;;
swe10;00:19:42.216;22;1;voice;Height;;;;;;;och i det fÌ¦rsta sÌ´ Ì_r ( ) mansrÌ¦ster, lÌ´ga mansrÌ¦ster;;;;;
swe10;00:19:44.255;22;1;voice;Height;lÌ´ga;1;vert;flat V;1;;och i det fÌ¦rsta sÌ´ Ì_r ( ) mansrÌ¦ster, lÌ´ga mansrÌ¦ster;;;;;
swe10;00:19:47.515;22;2;none;Height;;;;;;;sen Ì_r det vÌ_ldigt vÌ_ldigt .. hÌ¦gt;;;;;
swe10;00:19:48.195;22;2;none;Height;hÌ¦gt;1;vert;narow grip;1;;sen Ì_r det vÌ_ldigt vÌ_ldigt .. hÌ¦gt;;;;;
swe10;00:20:18.435;22;;;;low;0;;;;;;;;;;
swe10;00:20:36.110;23;;;;;;;;;;;;;;;
swe10;00:20:42.199;23;1;;;;;;;;;;;;;;
swe10;00:20:42.219;23;1;voice;Height;;;;;;;i fÌ¦rsta avsnittet lite hÌ¦gre och sen kommer .. det... det andra avsnittet som ocksÌ´ Ì_r kvinnorÌ¦ster, men (  ) att.. att det ligger lite lÌ_gre;;;;;
swe10;00:20:43.330;23;1;voice;Height;hÌ¦gre;1;vert;other;1;;i fÌ¦rsta avsnittet lite hÌ¦gre och sen kommer .. det... det andra avsnittet som ocksÌ´ Ì_r kvinnorÌ¦ster, men (  ) att.. att det ligger lite lÌ_gre;;;;;
swe10;00:20:52.840;23;1;voice;Height;lÌ_gre;1;vert;flat H;1;;i fÌ¦rsta avsnittet lite hÌ¦gre och sen kommer .. det... det andra avsnittet som ocksÌ´ Ì_r kvinnorÌ¦ster, men (  ) att.. att det ligger lite lÌ_gre;;;;;
swe10;00:21:04.080;23;;;;high;1;;;;;;;;;;
swe10;00:21:06.070;23;;;;high;;;;;;;;;;;
swe10;00:21:06.072;23;;;;high;1;;;;;;;;;;
swe10;00:21:07.457;23;;;;other;1;;;;round;;;;;;
swe10;00:21:28.220;24;;;;;;;;;;;;;;;
swe10;00:21:41.193;24;1;voice;Brightness;;;;;;;och sen och sen .. ljusa kvinnorÌ¦ster;;;;;
swe10;00:21:42.970;24;1;voice;Brightness;ljusa;1;vert;narow grip;1;;och sen och sen .. ljusa kvinnorÌ¦ster;;;;;
swe10;00:22:39.215;25;;;;;;;;;;;;;;;
swe10;00:22:58.065;25;1;gender;Height;;;;;;;men mÌ_nnen mÌ´sta ligga lÌ_gre naturligtvis;;;;;
swe10;00:22:58.885;25;1;gender;Height;lÌ_gre;0;;;;;men mÌ_nnen mÌ´sta ligga lÌ_gre naturligtvis;;;;;
swe11;00:00:19.685;1;;;;;;;;;;;;;;;
swe11;00:00:19.694;1;1;none;Brightness;;;;;;;vi hÌ¦r fÌ¦rst ett ljusare och ett lite mÌ¦rkare sen;;;;;
swe11;00:00:20.725;1;1;none;Brightness;ljusare;0;;;;;vi hÌ¦r fÌ¦rst ett ljusare och ett lite mÌ¦rkare sen;;;;;
swe11;00:00:22.175;1;1;none;Brightness;mÌ¦rkare;0;;;;;vi hÌ¦r fÌ¦rst ett ljusare och ett lite mÌ¦rkare sen;;;;;
swe11;00:00:25.735;1;;;;bright;0;;;;;;;;;;
swe11;00:00:32.885;1;;;;high;0;;;;;;;;;;
swe11;00:00:39.525;1;;;;dark;0;;;;;;;;;;
swe11;00:01:14.558;2;;;;;;;;;;;;;;;
