"";"File";"Begin.Time...hh.mm.ss.ms";"Trial";"Part";"Subject";"Scope";"Words";"Gesture";"Dimension";"Handshape";"N.Hands";"Comment";"Speech";"Translation";"comment";"Grammar";"General.comments";"Language"
"8";"swe1";"00:04:43.479";"6";"1";"tone";"Brightness";"ljusare";"0";NA;NA;NA;NA;"ja och nu var det en ljusare ton, den f̦reg̴ende";NA;NA;NA;NA;"Swedish"
"11";"swe1";"00:05:34.002";"7";"1";"instrument";"Brightness";"mörkare";"0";NA;NA;NA;NA;"lite m̦rkare";NA;NA;NA;NA;"Swedish"
"16";"swe1";"00:06:19.487";"8";"1";"sound";"Height";"djup";"1";"vert";"flat H";2;NA;"alts̴ djup, h̦jd";NA;NA;NA;NA;"Swedish"
"17";"swe1";"00:06:20.000";"8";"1";"sound";"Height";"höjd";"1";"vert";"flat H";2;NA;"alts̴ djup, h̦jd";NA;NA;NA;NA;"Swedish"
"20";"swe1";"00:06:48.330";"9";"1";"none";"Brightness";"ljusa";"0";NA;NA;NA;NA;"nu b̦rjar man med den ljusa (bing) och g̴r till den m̦rka (buum)";NA;NA;NA;NA;"Swedish"
"21";"swe1";"00:06:51.303";"9";"1";"none";"Brightness";"mörka";"0";NA;NA;NA;NA;"nu b̦rjar man med den ljusa (bing) och g̴r till den m̦rka (buum)";NA;NA;NA;NA;"Swedish"
"24";"swe1";"00:07:26.754";"10";"1";"none";"Brightness";"ljust";"1";"none";"open";1;NA;"den b̦rjar med ljust, avslutar med m̦rk";NA;NA;NA;NA;"Swedish"
"25";"swe1";"00:07:29.234";"10";"1";"none";"Brightness";"mörkt";"1";"none";"none";1;NA;"den b̦rjar med ljust, avslutar med m̦rk";NA;NA;NA;NA;"Swedish"
"28";"swe1";"00:08:11.222";"11";"1";"tone";"Height";"hög";"0";NA;NA;NA;NA;"det sțrre skilnad nu..senaste..mellan h̦g och l̴g ton";NA;NA;NA;NA;"Swedish"
"29";"swe1";"00:08:11.689";"11";"1";"tone";"Height";"låg";"0";NA;NA;NA;NA;"det sțrre skilnad nu..senaste..mellan h̦g och l̴g ton";NA;NA;NA;NA;"Swedish"
"32";"swe1";"00:08:43.254";"12";"1";"tone";"Brightness";"ljusa";"0";NA;NA;NA;NA;"s̴ nu kommer det ljusa...tonen sist och den m̦rka f̦rst";NA;NA;NA;NA;"Swedish"
"33";"swe1";"00:08:46.392";"12";"1";"tone";"Brightness";"mörka";"0";NA;NA;NA;NA;"s̴ nu kommer det ljusa...tonen sist och den m̦rka f̦rst";NA;NA;NA;NA;"Swedish"
"36";"swe1";"00:09:30.567";"13";"1";"tone";"Brightness";"ljusare";"0";NA;NA;NA;NA;"nu h̦r jag en ljusare ton f̦rst och en m̦rkare sen";NA;NA;NA;NA;"Swedish"
"37";"swe1";"00:09:32.859";"13";"1";"tone";"Brightness";"mörkare";"0";NA;NA;NA;NA;"nu h̦r jag en ljusare ton f̦rst och en m̦rkare sen";NA;NA;NA;NA;"Swedish"
"40";"swe1";"00:10:14.092";"14";"1";"tone";"Brightness";"ljusa";"0";NA;NA;NA;NA;"ljusa tonen f̦rst, m̦rka sen";NA;NA;NA;NA;"Swedish"
"41";"swe1";"00:10:15.480";"14";"1";"tone";"Brightness";"mörka";"0";NA;NA;NA;NA;"ljusa tonen f̦rst, m̦rka sen";NA;NA;NA;NA;"Swedish"
"46";"swe1";"00:10:51.539";"15";"1";"sound";"Brightness";"ljust";"0";NA;NA;NA;NA;"nu h̦r jag ett ljust ljud f̦rst och ett mycket dovt sen";NA;NA;NA;NA;"Swedish"
"53";"swe1";"00:11:50.039";"16";"1";"tone";"Height";"högre";"0";NA;NA;NA;NA;"det den andra tonen �_r v��l lite h̦gre";NA;NA;NA;NA;"Swedish"
"56";"swe1";"00:12:30.538";"17";"1";"tone";"Height";"högre";"0";NA;NA;NA;NA;"den andra av tonerna �_r h̦gre";NA;NA;NA;NA;"Swedish"
"60";"swe1";"00:12:58.586";"18";"1";"tone";"Brightness";"ljusare";"0";NA;NA;NA;NA;"den andra tonen �_r ljusare och skilnaden mellan de tv̴ tonerna i detta klippet �_r lite sțrre �_n f̦reg̴ende klipp";NA;NA;NA;NA;"Swedish"
"66";"swe1";"00:14:59.755";"21";"1";"tone";"Height";"lägre";"0";NA;NA;NA;NA;"varav den andra tonen �_r lite l�_gre �_n den f̦rsta";NA;NA;NA;NA;"Swedish"
"69";"swe1";"00:15:30.224";"22";"1";"tone";"Height";"lägre";"0";NA;NA;NA;NA;"ton nummer tv̴ �_r lite dovare lite l�_gre �_n den f̦rsta";NA;NA;NA;NA;"Swedish"
"74";"swe10";"00:03:15.736";"3";"1";"tone";"Height";"nära";"1";"vert";"flat H";2;NA;"det �_r fortfarande mansr̦ster i begge tv̴, dom ligger .. v�_ldigt v�_ldigt n�_ra varandra i tonh̦jd";NA;NA;NA;NA;"Swedish"
"75";"swe10";"00:03:19.080";"3";"1";"tone";"Height";"höjd";"1";"vert";"flat H";1;NA;"det �_r fortfarande mansr̦ster i begge tv̴, dom ligger .. v�_ldigt v�_ldigt n�_ra varandra i tonh̦jd";NA;NA;NA;NA;"Swedish"
"78";"swe10";"00:04:26.145";"4";"1";"none";"Height";"högt";"1";"vert";"narow grip";1;NA;"den f̦rsta d�_r �_r det ju v�_ldigt v�_ldigt v�_ldigt h̦gt";NA;NA;NA;NA;"Swedish"
"82";"swe10";"00:04:50.627";"4";"2";"none";"Height";"(rrr)";"1";"vert";"flat H";1;NA;"och det.. det andra avsnittet �_r det (rrr) .. det ju v�_ldigt l̴ngt ner";NA;NA;NA;NA;"Swedish"
"85";"swe10";"00:05:19.965";"5";"1";"none";"Height";"högt";"1";"vert";"flat H";1;NA;"det �_r ganska h̦gt .. och sen �_r det .. ganska l̴ngt ner";NA;NA;NA;NA;"Swedish"
"86";"swe10";"00:05:22.655";"5";"1";"none";"Height";"långt ner";"1";"vert";"flat H";1;NA;"det �_r ganska h̦gt .. och sen �_r det .. ganska l̴ngt ner";NA;NA;NA;NA;"Swedish"
"90";"swe10";"00:06:06.350";"6";"1";"voice";"Height";"lägre";"1";"none";"open";2;NA;"h�_r �_r det lite l�_gre mansr̦ster";NA;NA;NA;NA;"Swedish"
"92";"swe10";"00:06:10.490";"6";"2";"none";"Height";"högre";"1";"vert";"flat H";2;NA;"och lite lite h̦gre";NA;NA;NA;NA;"Swedish"
"95";"swe10";"00:06:39.630";"7";"1";"voice";"Brightness";"ljusa";"1";"none";"open";1;NA;"i det f̦rsta avsnittet s̴ �_r det dog lju-lju-ljusa mansr̦ster";NA;NA;NA;NA;"Swedish"
"97";"swe10";"00:06:43.490";"7";"2";"none";"Height";"och sen är det";"1";"vert";"flat H";1;NA;"och sen �_r det d̴ eh.. kvinnor̦ster i det andra.. avsnittet som ligger h̦gre";NA;NA;NA;NA;"Swedish"
"98";"swe10";"00:06:46.163";"7";"2";"none";"Height";"kvinnor̦ster";"1";"vert";"other";1;NA;"och sen �_r det d̴ eh.. kvinnor̦ster i det andra.. avsnittet som ligger h̦gre";NA;NA;NA;NA;"Swedish"
"99";"swe10";"00:06:49.115";"7";"2";"none";"Height";"högre";"1";"vert";"other";1;NA;"och sen �_r det d̴ eh.. kvinnor̦ster i det andra.. avsnittet som ligger h̦gre";NA;NA;NA;NA;"Swedish"
"102";"swe10";"00:07:24.063";"8";"1";"none";"Brightness";"f̦rsta";"1";"vert";"narow grip";1;NA;"det h�_r �_r ju ocks̴ eh. f̦rsta avsnittet �_r det d̴. v�_ldigt v�_ldigt ljusa";NA;NA;NA;NA;"Swedish"
